client,download_throughput_bps_mean,download_throughput_bps_median,download_throughput_bps_var,download_throughput_bps_std,download_throughput_bps_q0.9,download_throughput_bps_q0.99,upload_throughput_bps_mean,upload_throughput_bps_median,upload_throughput_bps_var,upload_throughput_bps_std,upload_throughput_bps_q0.9,upload_throughput_bps_q0.99,rtt_download_sec_mean,rtt_download_sec_median,rtt_download_sec_var,rtt_download_sec_std,rtt_download_sec_q0.9,rtt_download_sec_q0.99,rtt_upload_sec_mean,rtt_upload_sec_median,rtt_upload_sec_var,rtt_upload_sec_std,rtt_upload_sec_q0.9,rtt_upload_sec_q0.99,packet_loss_percent_mean,packet_loss_percent_median,packet_loss_percent_var,packet_loss_percent_std,packet_loss_percent_q0.9,packet_loss_percent_q0.99
client01,650329090.1786191,892829694.9208715,1.1949694792881523e+17,345683305.8289266,914699457.1617842,931600136.961252,714049706.694203,878876045.2323045,8.298228809687504e+16,288066464.7210345,911211386.1626949,917368382.5566162,0.044897107142857134,0.011,0.002886596976601127,0.053727060003327255,0.120452,0.12560725,0.03130497058823528,0.006363499999999999,0.002170028971674921,0.046583569760967454,0.11998049999999999,0.12239074999999999,0.524092595886773,0.0054758286570614,2.7851629270819718,1.6688807408206172,0.7664849395190493,8.454929692644308
client02,639309508.1026303,824316656.0317224,1.0592312508702034e+17,325458330.7998435,911271977.779224,927931763.099398,561951628.7035077,629699678.5862105,4.5068517857858344e+16,212293471.06743142,757271287.7323685,887298800.1405158,0.039057652,0.01,0.0027478748811291523,0.05242017627907362,0.1186344,0.12513779999999913,0.029352453999999986,0.004243,0.0023188369830499855,0.048154303889164314,0.11738320000000001,0.12534792999999905,0.781427958359889,0.06545347719176345,3.5334861713055563,1.8797569447419409,1.8138337794609019,10.94241831600168
client03,613278409.8066397,812445409.3016932,1.092923205341278e+17,330593890.64852333,909724532.3237696,921749795.0197682,521209803.8920546,592773243.6079053,4.406751954877693e+16,209922651.3475307,732116419.3066515,763123996.4089305,0.044448181647940066,0.01,0.00316114293476056,0.056224042319639025,0.11997129999999998,0.21948563999999998,0.03298586891385767,0.004359,0.0025535853938664626,0.050533012911031364,0.1189527,0.18762436999999615,0.6749519313628204,0.07491672159064236,2.0673364359010247,1.4378235065198457,1.6330518607972422,7.174736628057336
client04,580578884.3799634,799150140.010026,1.19998110586502e+17,346407434.36956143,908749660.95215,926014925.0070474,548986225.5779624,622324165.2489191,6.146563991307537e+16,247922649.05223033,859634869.3842089,891760668.4594513,0.05085350759219088,0.012,0.003051510030246139,0.055240474565721634,0.122,0.12662419999999996,0.035188351409978294,0.008341,0.004894735031271889,0.06996238297307981,0.121319,0.1263812,0.5128080433557507,0.0493184166219151,1.7301046000291782,1.3153344061603416,1.1248191514140384,6.304538878612497
client05,309530969.1734707,106962886.11686599,1.1206096904077618e+17,334755088.14770263,892519778.4461975,913623024.7899729,347752207.8374726,108594534.92565626,1.234723338059762e+17,351386302.8149734,898651869.5061604,910938734.6338518,0.0451663112033195,0.01,0.0030101623389632397,0.05486494635888419,0.119,0.21912378,0.02970687966804978,0.004111500000000001,0.002236007256808776,0.0472864384026623,0.11859499999999999,0.12099524999999998,6.311938217503023,8.276382744124621,28.049796007389908,5.296205812408531,12.638443951741635,15.008345337083332
client06,611258427.9250153,830235942.5285647,1.1604896511909397e+17,340659603.00436854,908119137.6470077,925259719.8008554,606534738.3370422,738698732.786013,6.593926252400854e+16,256786414.21229538,809726223.0777459,887431534.1391171,0.046760792134831454,0.0099445,0.0031964161126865447,0.05653685623278451,0.11899789999999999,0.21914472,0.031781674157303354,0.003858,0.004664650809585935,0.0682982489496322,0.1185252,0.2185587,0.8321500185869702,0.7170661632637301,1.0349040501020188,1.0173023395736485,1.8338194882203405,4.648416741485093
client07,629741956.2391587,834419015.5628711,1.1043678819805328e+17,332320309.63823634,907537005.6954707,924405967.4216648,491236755.77681744,550829432.4144349,3.713047737776521e+16,192692701.93176806,694700535.2727103,815092466.4426007,0.046287429629629624,0.013,0.003320070264037708,0.05762005088541408,0.1226701,0.22300976,0.034639988888888876,0.008962,0.0026655697689275193,0.05162915619034965,0.122365,0.22312247999999998,0.5296586254949451,0.08759491248668261,2.4299402970312096,1.558826576958197,0.9957240855896415,7.413258909432313
client08,233889619.76079068,96396453.32678296,8.546441364843738e+16,292342972.6339208,858293350.5715353,911931928.7648549,225898541.23469296,97324495.51262334,6.238042166538853e+16,249760728.82939088,710377845.5177971,875723355.819327,0.05441943839999999,0.01,0.004538535806919676,0.06736865596788819,0.12,0.221,0.04077692479999999,0.005875,0.0038609777144831227,0.06213676620554953,0.12,0.22090692,5.060996171339144,3.3348430218268508,36.956391424855745,6.079176870667257,18.473427991474296,20.862315793715116
client09,645240035.0203884,894133515.4364446,1.2327362643045354e+17,351103441.21135235,918929603.7815549,932601247.726708,452650070.83885306,190206886.29785824,1.510977844227065e+17,388712984.6335294,907330424.7482111,916297833.0813661,0.044973634538152604,0.01,0.0030116199384617403,0.05487822827371289,0.11956609999999994,0.21859066,0.033936873493975894,0.0043445,0.002560954026291813,0.0506058694845945,0.1191062,0.12382057999999997,0.4832634131470987,0.07306617583011565,1.9176526404672842,1.384793356594147,0.719825532770526,7.600779772999974
client10,231791294.74137792,221136216.3230062,2.7568478260461136e+16,166037580.86789006,416490915.97806036,423380880.4314399,37347812.26601742,40764883.49358833,85902362107068.11,9268352.718097651,45588955.36932895,46334067.05306707,0.08720242620481927,0.015269,0.01069631242690556,0.10342297823455657,0.2306497,0.24604058,0.06773092620481927,0.016558,0.008787972794321846,0.09374418805623017,0.23352699999999998,0.24717545000000002,1.4803458765300563,0.0074700802980302,8.282361825289918,2.8779092802397224,6.292782377491838,10.89206721449945
client11,504634766.3071188,690643959.055207,8.322926936266882e+16,288494834.20447725,795386637.437721,800083278.0079292,267394106.14809707,382950945.28375113,2.7269385952482224e+16,165134448.1096607,418338494.27816814,423686403.9186921,0.012882789366053162,0.0129629999999999,3.8975241941198215e-05,0.006243015452583648,0.016,0.021114840000000006,0.015222881390593038,0.0154939999999999,8.347817397360786e-05,0.00913663909616703,0.017775,0.03450892000000002,1.1971610691103278,0.540976611177913,3.785838072423505,1.9457230204794065,3.2569776696236565,9.08391304159721
